original_title,title_length,production_companies
Getaway,7,"Dark Castle Entertainment, Signature Pictures, After Dark Films, Silver Reel, Saints LA"
The Internship,14,"Twentieth Century Fox Film Corporation, Regency Enterprises, 21 Laps Entertainment, Wild West Picture Show Productions, TSG Entertainment"
Ð¡Ñ‚Ð°Ð»Ð¸Ð½Ð³Ñ€Ð°Ð´,20,Art Pictures Studio
Harry Potter and the Goblet of Fire,35,"Patalex IV Productions Limited, Warner Bros., Heyday Films"
Batman Begins,13,"DC Comics, Legendary Pictures, Warner Bros., DC Entertainment, Syncopy"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",62,"Walt Disney, Walden Media"
V for Vendetta,14,"Studio Babelsberg, DC Comics, Virtual Studios, Anarchos Productions, Silver Pictures"
Sin City,8,"Dimension Films, Troublemaker Studios, Miramax"
Charlie and the Chocolate Factory,33,"Village Roadshow Pictures, The Zanuck Company, Warner Bros., Tim Burton Productions, Plan B Entertainment"
Star Wars: Episode III - Revenge of the Sith,44,Lucasfilm
The Hitchhiker's Guide to the Galaxy,36,"Spyglass Entertainment, Everyman Pictures, Hammer & Tongs, Touchstone Pictures"
The Island,10,"DreamWorks SKG, Warner Bros., Parkes/MacDonald Productions"
Madagascar,10,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation"
Fantastic Four,14,"Twentieth Century Fox Film Corporation, 1492 Pictures, Constantin Film Produktion, Marvel Enterprises, Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG"
Constantine,11,"Village Roadshow Pictures, DC Comics, Lonely Film Productions GmbH & Co. KG., Donners' Company, Branded Entertainment/Batfilm Productions"
Wedding Crashers,16,"New Line Cinema, Tapestry Films, Avery Pix"
Ã†on Flux,9,"Paramount Pictures, Lakeshore Entertainment, MTV Films, Colossal Pictures, Valhalla Motion Pictures"
The Pacifier,12,"Walt Disney Pictures, Spyglass Entertainment"
War of the Worlds,17,"Paramount Pictures, DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment"
Memoirs of a Geisha,19,"DreamWorks SKG, Spyglass Entertainment, Columbia Pictures Corporation, Red Wagon Productions"
The 40 Year Old Virgin,22,"Universal Pictures, Apatow Productions"
Chicken Little,14,"Walt Disney Pictures, Walt Disney Feature Animation"
Hitch,5,"Columbia Pictures Corporation, Overbrook Entertainment"
Transporter 2,13,"Canal Plus, Twentieth Century Fox Film Corporation, Current Entertainment, TF 1 Film Productions, TPS Star"
Nanny McPhee,12,"Universal Pictures, Three Strange Angels, Studio Canal, Metro-Goldwyn-Mayer (MGM), Working Title Films"
Kingdom of Heaven,17,"Studio Babelsberg, Twentieth Century Fox Film Corporation, Scott Free Productions, Kanzaman, Dune Films"
Monster-in-Law,14,"New Line Cinema, Spring Creek Productions, BenderSpink, Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG"
King Kong,9,"WingNut Films, Universal Pictures, Big Primate Pictures, MFPV Film"
Be Cool,7,"Double Feature Films, Jersey Films, Nina Saxon Film Design, Metro-Goldwyn-Mayer (MGM)"
Into the Blue,13,"Columbia Pictures Corporation, Mandalay Pictures, Metro-Goldwyn-Mayer (MGM)"
Pride & Prejudice,17,"Universal Pictures, StudioCanal, Scion Films, Focus Features, Working Title Films"
Brokeback Mountain,18,"River Road Entertainment, Alberta Film Entertainment, Focus Features, Good Machine"
Robots,6,"Blue Sky Studios, Twentieth Century Fox Animation"
xXx: State of the Union,23,"Original Film, Columbia Pictures Corporation, Revolution Studios"
The Sisterhood of the Traveling Pants,37,"DiNovi Pictures, Alcon Entertainment, Alloy Entertainment"
Mr. & Mrs. Smith,16,"20th Century Fox, Weed Road Pictures, Dutch Oven, New Regency Productions, Summit Entertainment"
The Legend of Zorro,19,"Amblin Entertainment, Columbia Pictures Corporation"
Lord of War,11,"Saturn Films, Ascendant Pictures, Endgame Entertainment, Entertainment Manufacturing Company, Rising Star"
Elektra,7,"Twentieth Century Fox Film Corporation, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures, Marvel Enterprises"
Corpse Bride,12,"Tim Burton Animation Company, Will Vinton Studios, Warner Bros., Tim Burton Productions, Laika Entertainment"
The Curse of the Were-Rabbit,28,"Aardman Animations, DreamWorks Animation"
Rumor Has It...,15,"Village Roadshow Pictures, Section Eight, Spring Creek Productions, Warner Bros."
The Jacket,10,"Section Eight, Mandalay Pictures, VIP 3 Medienfonds, 2929 Productions, Rising Star"
Jarhead,7,"Universal Pictures, Neal Street Productions, Red Wagon Entertainment, Motion Picture KAPPA Produktionsgesellschaft"
Just Like Heaven,16,"DreamWorks SKG, MacDonald/Parkes Productions"
Herbie Fully Loaded,19,"Walt Disney Pictures, Robert Simonds Productions"
Elizabethtown,13,"Paramount Pictures, Cruise/Wagner Productions, Vinyl Films, KMP Film Invest"
Four Brothers,13,"Paramount Pictures, Di Bonaventura Pictures"
Cinderella Man,14,"Miramax Films, Imagine Entertainment, Universal Pictures, Parkway Pictures (I), Touchstone Pictures"
Match Point,11,DreamWorks
Hoodwinked!,11,"The Weinstein Company, Kanbar Entertainment, Blue Yonder Films"
Hide and Seek,13,"Twentieth Century Fox Film Corporation, Fox 2000 Pictures, Josephson Entertainment, MBC Beteiligungs Filmproduktion"
Bewitched,9,"Columbia Pictures Corporation, Red Wagon Entertainment, Bewitched"
Doom,4,"Di Bonaventura Pictures, John Wells Productions, Reaper Productions, Stillking Films, Babelsberg Film"
Cheaper by the Dozen 2,22,Twentieth Century Fox Film Corporation
Fever Pitch,11,"Fox 2000 Pictures, Wildgaze Films, Alan Greenspan Productions, Mars Media Beteiligungs, Flower Films (II)"
Proof,5,"Miramax Films, Endgame Entertainment, Hart-Sharp Entertainment"
The Interpreter,15,"Universal Pictures, StudioCanal, Mirage Enterprises, Working Title Films, Misher Films"
The Brothers Grimm,18,"The Weinstein Company, Summit Entertainment, Atlas Entertainment, Mosaic Media Group, Reforma Films"
An Unfinished Life,18,"Miramax Films, Revolution Studios, Persistent Entertainment, Initial Entertainment Group (IEG), The Ladd Company"
Hostage,7,"Miramax Films, Cheyenne Enterprises, Yari Film Group, Stratus Film Co., Syndicate Films International"
The Dukes of Hazzard,20,"Village Roadshow Pictures, Gerber Pictures, Warner Bros., WV Films III"
Munich,6,"DreamWorks SKG, Universal Pictures, Amblin Entertainment, Peninsula Films, Alliance Atlantis Communications"
The Exorcism of Emily Rose,26,"Lakeshore Entertainment, Firm Films, Screen Gems"
Thank You for Smoking,21,"Fox Searchlight Pictures, Room 9 Entertainment"
Syriana,7,"Section Eight, Warner Bros., Participant Media, FilmWorks, 4M"
Derailed,8,"Miramax Films, Di Bonaventura Pictures, Patalex V Productions Limited"
The Skeleton Key,16,"Universal Pictures, MFPV Film, Double Feature Films, ShadowCatcher Entertainment, Daniel Bobker Productions"
Racing Stripes,14,Alcon Entertainment
"Good Night, and Good Luck.",26,"Warner Independent Pictures (WIP), Section Eight Productions"
Coach Carter,12,"Paramount Pictures, MTV Films, Tollin/Robbins Productions"
A History of Violence,21,"New Line Cinema, DC Comics, BenderSpink"
The Amityville Horror,21,"Platinum Dunes, Dimension Films, Metro-Goldwyn-Mayer (MGM), Radar Pictures"
Fun with Dick and Jane,22,"Imagine Entertainment, Columbia Pictures Corporation, JC 23 Entertainment"
Unleashed,9,"Canal Plus, Current Entertainment, Clubdeal, TF1 Films Production, EuropaCorp"
Rebound,7,"Twentieth Century Fox Film Corporation, Robert Simonds Productions, Runteldat Entertainment"
Guess Who,9,"Columbia Pictures, Regency Enterprises, 3 Arts Entertainment, Tall Trees Productions"
Two for the Money,17,"Universal Pictures, Morgan Creek Productions"
Flightplan,10,"Imagine Entertainment, Touchstone Pictures"
Assault on Precinct 13,22,"Rogue Pictures, Why Not Productions, Liaison Films, Biscayne Pictures"
Broken Flowers,14,"Bac Films, Focus Features, Five Roses"
The Weather Man,15,"Paramount Pictures, Escape Artists, Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 2 KG"
Land of the Dead,16,"Universal Pictures, Atmosphere Entertainment MM, Romero-Grunwald Productions, Exception Wild Bunch"
Walk the Line,13,"Tree Line Films, Konrad Pictures, Catfish Productions, Fox 2000 Pictures, Mars Media Beteiligungs"
A Lot Like Love,15,"Mile High Productions, Kevin Messick Productions, Touchstone Pictures, Beacon Pictures"
Get Rich or Die Tryin',22,"Paramount Pictures, MTV Films, Cent Productions Inc."
Kicking & Screaming,19,Universal Pictures
Cursed,6,"Craven-Maddalena Films, Outerbanks Entertainment, Dimension Films, Kalis Productions GmbH & Co. Zweite KG"
Stay,4,"20th Century Fox, Regency Enterprises"
The Longest Yard,16,"Paramount Pictures, Columbia Pictures Corporation, MTV Films, Happy Madison Productions, Callahan Filmworks"
Are We There Yet?,17,"Columbia Pictures, Revolution Studios, Cube Vision"
A Sound of Thunder,18,"Epsilon Motion Pictures, Franchise Pictures, Baldwin Entertainment Group, Dante Entertainment, Crusader Entertainment"
The Fog,7,"Revolution Studios, Debra Hill Productions"
Stealth,7,"Laura Ziskin Productions, Original Film, Columbia Pictures Corporation, Phoenix Pictures, AFG Talons Productions"
The Wedding Date,16,"Universal Pictures, 26 Films"
BloodRayne,10,Boll KG
Sahara,6,"Paramount Pictures, Bristol Bay Productions, Baldwin Entertainment Group, Desertlands Entertainment, Mace Neufeld Productions"
The Matador,11,Miramax Films
Capote,6,"Sony Pictures Classics, Cooper's Town Productions, Eagle Vision Inc., Manitoba Film and Video Production Tax Credit, Province of British Columbia Production Services Tax Credit"
Valiant,7,"Vanguard Films, Scanbox"
The Constant Gardener,21,"Studio Babelsberg, Epsilon Motion Pictures, UK Film Council, Scion Films, Focus Features"
House of Wax,12,"Village Roadshow Pictures, Dark Castle Entertainment, Warner Bros."
The Great Raid,14,"Miramax Films, Lawrence Bender Productions, Marty Katz Productions"
Domino,6,"New Line Cinema, Davis-Films, Metropolitan Filmexport, Scott Free Productions, Domino 17521"
Beauty Shop,11,Metro-Goldwyn-Mayer (MGM)
The Adventures of Sharkboy and Lavagirl,39,"Columbia Pictures Corporation, Dimension Films"
The Greatest Game Ever Played,29,Walt Disney Pictures
The Three Burials of Melquiades Estrada,39,"The Javelina Film Company, EuropaCorp"
Goal!: The Dream Begins,23,"Touchstone Pictures, Milkshake Films, Hargitay & Hargitay Pictures in Motion"
White Noise,11,"Universal Pictures, Brightlight Pictures, Endgame Entertainment, The Movie Network (TMN), Canadian Film or Video Production Tax Credit (CPTC)"
Sky High,8,"Walt Disney Pictures, Gunn Films, Max Stronghold Productions Inc."
Red Eye,7,"DreamWorks SKG, Craven-Maddalena Films, BenderSpink"
Everything is Illuminated,25,"Big Beach Productions, Stillking Films, Warner Independent Pictures (WIP), Telegraph Films"
"Yours, Mine & Ours",18,"Paramount Pictures, Columbia Pictures Corporation, Nickelodeon Movies, O.N.C. Entertainment, Robert Simonds Productions"
Hustle & Flow,13,MTV Films
Alone in the Dark,17,"Boll Kino Beteiligungs GmbH & Co. KG, Brightlight Pictures, Herold Productions, Lionsgate, Infogrames Entertainment"
Boogeyman,9,"Ghost House Pictures, Senator International, Screen Gems, Pacific Renaissance Pictures Ltd."
The Cave,8,"Lakeshore Entertainment, Cinerenta Medienbeteiligungs KG, Screen Gems, Cineblue Internationale Filmproduktionsgesellschaft, City Productions"
Rent,4,"Columbia Pictures, 1492 Pictures, Revolution Studios"
North Country,13,"Warner Bros., Participant Media, Nick Wechsler Productions"
Bad News Bears,14,Paramount Pictures
Because of Winn-Dixie,21,Twentieth Century Fox Film Corporation
Lords of Dogtown,16,"Columbia Pictures, TriStar Pictures"
Dark Water,10,"Vertigo Entertainment, Touchstone Pictures, Post No Bills Films, Pandemonium Productions"
Underworld: Evolution,21,"Lakeshore Entertainment, Screen Gems"
Pirates of the Caribbean: Dead Man's Chest,42,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions"
Cars,4,"Walt Disney Pictures, Pixar Animation Studios"
Casino Royale,13,Eon Productions
The Da Vinci Code,17,"Columbia Pictures, Imagine Entertainment, Skylark Productions, Government of Malta"
Step Up,7,"Summit Entertainment, Offspring Entertainment, Touchstone Pictures, Eketahuna LLC"
Ice Age: The Meltdown,21,"Blue Sky Studios, Twentieth Century Fox Animation"
Mission: Impossible III,23,"Paramount Pictures, Cruise/Wagner Productions, Studio Babelsberg, MI 3 Film, China Film Co-Production Corporation"
The Devil Wears Prada,21,"Twentieth Century Fox Film Corporation, Dune Entertainment, Major Studio Partners, Peninsula Films, Fox 2000 Pictures"
The Departed,12,"Vertigo Entertainment, Media Asia Films, Warner Bros., Initial Entertainment Group (IEG), Plan B Entertainment"
The Holiday,11,"Columbia Pictures, Universal Pictures, Waverly Films, Relativity Media"
The Prestige,12,"Touchstone Pictures, Syncopy"
Night at the Museum,19,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, 1492 Pictures, 21 Laps Entertainment"
Babel,5,"Paramount Vantage, Media Rights Capital, Anonymous Content, Central Films"
Children of Men,15,"Universal Pictures, Strike Entertainment, Hit & Run Productions"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,83,"Twentieth Century Fox Film Corporation, Four By Two Productions"
Click,5,"Original Film, Columbia Pictures Corporation, Revolution Studios, Happy Madison Productions"
The Break-Up,12,"Universal Pictures, Mosaic Media Group, Wild West Picture Show Productions"
Inside Man,10,"Imagine Entertainment, Universal Pictures"
Over the Hedge,14,"Pacific Data Images (PDI), DreamWorks Animation"
Perfume: The Story of a Murderer,32,"Davis-Films, Nouvelles Ã‰ditions de Films (NEF), Rising Star, VIP Medienfonds 4, Ikiru Films"
Blood Diamond,13,"Bedford Falls Productions, Lonely Film Productions GmbH & Co. KG., Virtual Studios, Spring Creek Productions, Warner Bros."
Crank,5,"Lions Gate Films, Lakeshore Entertainment, GreeneStreet Films, Radical Media"
Lucky Number Slevin,19,"The Weinstein Company, FilmEngine, Capitol Films, Ascendant Pictures, VIP Medienfonds 4"
Eight Below,11,"Walt Disney Pictures, Spyglass Entertainment, Vertigo Entertainment, Kennedy/Marshall Company, The, Mandeville Films"
Final Destination 3,19,"New Line Cinema, Zide-Perry Productions, Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG, Hard Eight Pictures, Matinee Pictures"
Silent Hill,11,"Silent Hill DCP Inc., Davis-Films, Konami"
She's the Man,13,"DreamWorks SKG, Lakeshore Entertainment"
The Fountain,12,"Regency Enterprises, Warner Bros., Muse Entertainment Enterprises, Protozoa Pictures, New Regency Pictures"
Happy Feet,10,"Village Roadshow Pictures, Kennedy Miller Productions, Kingdom Feature Productions, Warner Bros., Animal Logic"
Rocky Balboa,12,"Columbia Pictures, Revolution Studios, Rogue Marble, Metro-Goldwyn-Mayer (MGM)"
Flushed Away,12,"Aardman Animations, DreamWorks Animation"
The Wild,8,"Walt Disney Pictures, Contrafilm, C.O.R.E. Feature Animation, Hoytyboy Pictures, Nigel Productions"
DÃ©jÃ  Vu,9,"Jerry Bruckheimer Films, Scott Free Productions, Touchstone Pictures"
Eragon,6,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment, Major Studio Partners, Fox 2000 Pictures"
The Lake House,14,"Village Roadshow Pictures, Vertigo Entertainment, Sound for Film, Warner Bros."
Scary Movie 4,13,Dimension Films
Monster House,13,"Columbia Pictures, Amblin Entertainment, Sony Pictures Animation, Sony Pictures Entertainment, ImageMovers"
Failure to Launch,17,"Paramount Pictures, Scott Rudin Productions, Failure to Launch Productions"
Apocalypto,10,"Icon Productions, Icon Entertainment International, Touchstone Pictures"
The Ant Bully,13,"Warner Bros. Pictures, DNA Films, Legendary Pictures, Playtone Production, Warner Bros. Animation"
The Hills Have Eyes,19,"Dune Entertainment, Major Studio Partners, Craven-Maddalena Films"
Just My Luck,12,"Regency Enterprises, Cheyenne Enterprises, New Regency Pictures"
The Good Shepherd,17,"Universal Pictures, American Zoetrope, Morgan Creek Productions"
Miami Vice,10,"Universal Pictures, Forward Pass, Motion Picture ETA Produktionsgesellschaft, Foqus Arte Digital, Metropolis Films"
John Tucker Must Die,20,"Twentieth Century Fox Film Corporation, Dune Entertainment, Major Studio Partners, Landscape Entertainment, John US Productions"
Tristan & Isolde,16,"Twentieth Century Fox Film Corporation, Epsilon Motion Pictures, Franchise Pictures, Scott Free Productions, World 2000 Entertainment"
Flags of Our Fathers,20,"DreamWorks SKG, Amblin Entertainment, Malpaso Productions, Warner Bros."
Curious George,14,"Imagine Entertainment, Universal Pictures, Universal Animation Studios"
Smokin' Aces,12,"Universal Pictures, StudioCanal, Relativity Media, Scion Films, Working Title Films"
RV,2,Columbia Pictures
We Are Marshall,15,"Legendary Pictures, Thunder Road Pictures, Wonderland Sound and Vision, Warner Bros."
The Illusionist,15,"Michael London Productions, Stillking Films, Bob Yari Productions, Bull's Eye Entertainment, Contagious Entertainment"
The Contract,12,"Nu Image Entertainment, 3L Filmverleih"
All the King's Men,18,"Columbia Pictures Corporation, Rising Star, Relativity Media, Phoenix Pictures, VIP 4 Medienfonds"
Big Momma's House 2,19,"Twentieth Century Fox Film Corporation, Regency Enterprises, Epsilon Motion Pictures, Firm Films, Deep River Productions"
Basic Instinct 2,16,"Intermedia Films, Kanzaman, C-2 Pictures, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG"
Clerks II,9,"The Weinstein Company, View Askew Productions"
Talladega Nights: The Ballad of Ricky Bobby,43,"Columbia Pictures, Apatow Productions"
The Pursuit of Happyness,24,"Columbia Pictures Corporation, Escape Artists, Relativity Media, Overbrook Entertainment"
Marie Antoinette,16,"American Zoetrope, Columbia Pictures Corporation, Pricel, Tohokushinsha Film, Commission du Film France"
Freedomland,11,"Scott Rudin Productions, Revolution Studios"
The Last King of Scotland,25,"Fox Searchlight Pictures, Cowboy Films, DNA Films, Scottish Screen, UK Film Council"
Saw III,7,"Lions Gate Films, Twisted Pictures, Evolution Entertainment"
Nacho Libre,11,"Paramount Pictures, Nickelodeon Movies, Black & White Productions"
Poseidon,8,"Virtual Studios, Next Entertainment, Warner Bros., Irwin Allen Productions, Radiant Productions"
American Dreamz,15,"Universal Pictures, Depth of Field"
Fur: An Imaginary Portrait of Diane Arbus,41,"River Road Entertainment, Edward R. Pressman Film, Iron Film"
"You, Me and Dupree",18,"Universal Pictures, Kaplan/Perrone Entertainment, MMCB Film Produktion 2004"
Little Miss Sunshine,20,"Fox Searchlight Pictures, Bona Fide Productions, Big Beach Films"
Little Man,10,"Revolution Studios, Wayans Bros. Entertainment"
Employee of the Month,21,Lionsgate
The Omen,8,"Twentieth Century Fox Film Corporation, 11:11 Mediaworks"
Letters from Iwo Jima,21,"DreamWorks SKG, Amblin Entertainment, Malpaso Productions, Warner Bros."
A Scanner Darkly,16,"Thousand Words, Warner Independent Pictures (WIP), Detour Filmproduction, Section Eight Productions"
Stranger Than Fiction,21,"Mandate Pictures, Three Strange Angels"
World Trade Center,18,"Paramount Pictures, Double Feature Films, Intermedia Films, Kernos Filmproduktionsgesellschaft & Company"
A Good Year,11,"Fox 2000 Pictures, Scott Free Productions"
Itâ€™s a Boy Girl Thing,23,"Prospero Pictures, Icon Entertainment International, Scion Films, Rocket Pictures, Alliance Atlantis Motion Picture Production"
Date Movie,10,"Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures"
Accepted,8,"Universal Pictures, Shady Acres Entertainment"
Open Season,11,Sony Pictures Animation
Barnyard,8,"Paramount Pictures, Nickelodeon Movies, Paramount Animation"
Dreamgirls,10,"Paramount Pictures, DreamWorks SKG, Laurence Mark Productions"
Snakes on a Plane,17,New Line Cinema
Jackass Number Two,18,Paramount Pictures
The Guardian,12,"Contrafilm, Firm Films, Touchstone Pictures, Beacon Pictures, Eyetronics"
The Fast and the Furious: Tokyo Drift,37,Universal Pictures
Miss Potter,11,BBC Films
Pulse,5,Dimension Films
Black Snake Moan,16,Paramount Classics
The Hoax,8,"Miramax Films, The Mark Gordon Company, Yari Film Group, Bob Yari Productions"
The Marine,10,"Twentieth Century Fox Film Corporation, Pacific Film and Television Commission, WWE Studios"
The Shaggy Dog,14,"Walt Disney Pictures, Mandeville Films, Boxing Cat Films"
Stormbreaker,12,"Isle of Man Film, Weinstein Company, The, Samuelson Productions"
Take the Lead,13,"New Line Cinema, Tiara Blu Films"
Zoom,4,"Columbia Pictures, Revolution Studios"
Aquamarine,10,"Fox 2000 Pictures, Storefront Pictures"
Rescue Dawn,11,Metro-Goldwyn-Mayer (MGM)
16 Blocks,9,"Donners' Company, Cheyenne Enterprises, Alcon Entertainment, Nu Image Entertainment GmbH, Millennium Films"
Last Holiday,12,Paramount Pictures
Notes on a Scandal,18,"Fox Searchlight Pictures, Scott Rudin Productions, DNA Films, BBC Films, Ingenious Film Partners"
United 93,9,"Universal Pictures, StudioCanal, Sidney Kimmel Entertainment, Working Title Films"
The Queen,9,"BIM Distribuzione, Granada Film Productions, Scott Rudin Productions, PathÃ© Renn Productions, PathÃ© Pictures International"
The Sentinel,12,"Twentieth Century Fox Film Corporation, Dune Entertainment, Major Studio Partners, Regency Enterprises, Epsilon Motion Pictures"
The Good German,15,"Warner Bros., Section Eight Productions, Sunset Gower Studios"
Flyboys,7,"Ingenious Film Partners, Electric Entertainment, Skydance Productions, Flyboys Films"
Running Scared,14,"International Production Company, True Grit Productions, Zero Gravity Management, Pierce/Williams Entertainment"
Catch and Release,17,"Columbia Pictures Corporation, Relativity Media"
The Grudge 2,12,"Columbia Pictures Corporation, Ghost House Pictures, Vertigo Entertainment"
Firewall,8,"Village Roadshow Pictures, Thunder Road Pictures, Warner Bros., Beacon Pictures, Jon Shestack Productions"
Tenacious D in The Pick of Destiny,34,Red Hour Films
Man of the Year,15,"Universal Pictures, Morgan Creek Productions"
The Covenant,12,"Screen Gems, Inc."
When a Stranger Calls,21,"Davis Entertainment, Screen Gems"
Dhoom 2,7,Yash Raj Films
Black Christmas,15,Dimension Films
Lady in the Water,17,"Legendary Pictures, Warner Bros., Blinding Edge Pictures"
Gridiron Gang,13,Columbia Pictures
The Namesake,12,"Fox Searchlight Pictures, Mirabai Films"
School for Scoundrels,21,Dimension Films
Annapolis,9,Touchstone Pictures
IndigÃ¨nes,10,Tessalit Productions
Stay Alive,10,"Spyglass Entertainment, Hollywood Pictures, Endgame Entertainment, Wonderland Sound and Vision"
The Return,10,"Rogue Pictures, Intrepid Pictures, Biscayne Pictures, Raygun Productions, Rosey Film Productions LLC"
X-Men: The Last Stand,21,20th Century Fox
Akeelah and the Bee,19,"Lions Gate Films, 2929 Productions, Out of the Blue... Entertainment, Starbucks Entertainment, Cinema Gypsy Productions"
Harry Potter and the Prisoner of Azkaban,40,"1492 Pictures, Warner Bros., Heyday Films, P of A Productions Limited"
Kill Bill: Vol. 2,17,"Miramax Films, A Band Apart, Super Cool ManChu"
Bridget Jones: The Edge of Reason,33,"Miramax Films, Universal Pictures, Studio Canal, Working Title Films, Atlantic Television"
Eternal Sunshine of the Spotless Mind,37,"Anonymous Content, This Is That Productions, Focus Features"
The Notebook,12,New Line Cinema
The Incredibles,15,"Walt Disney Pictures, Pixar Animation Studios"
The Bourne Supremacy,20,"Universal Pictures, The Kennedy/Marshall Company, Hypnotic, Motion Picture THETA Produktionsgesellschaft, Ludlum Entertainment"
Troy,4,"Plan B Entertainment, Warner Bros., Nimar Studios, Radiant Productions, Helena Productions"
National Treasure,17,"Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films, Junction Entertainment"
"I, Robot",8,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Davis Entertainment, Overbrook Entertainment, Mediastream Vierte Film GmbH & Co. Vermarktungs KG"
50 First Dates,14,"Columbia Pictures Corporation, Happy Madison Productions, Anonymous Content, Flower Films (II)"
Mean Girls,10,Paramount Pictures
Van Helsing,11,"Universal Pictures, Stillking Films, Sommers Company, The"
Hellboy,7,"Revolution Studios, Dark Horse Entertainment, Lawrence Gordon Productions, Starlite Films"
The Polar Express,17,"Castle Rock Entertainment, Golden Mean, Universal CGI, Shangri-La Entertainment, Playtone"
Shrek 2,7,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation"
The Butterfly Effect,20,"New Line Cinema, FilmEngine, Katalyst Films, BenderSpink, Province of British Columbia Production Services Tax Credit"
Resident Evil: Apocalypse,25,"Impact Pictures, Constantin Film Ltd."
Ocean's Twelve,14,"Village Roadshow Pictures, Section Eight, Jerry Weintraub Productions, Warner Bros., WV Films III"
Meet the Fockers,16,"DreamWorks SKG, Universal Pictures, Everyman Pictures, Tribeca Productions"
The Day After Tomorrow,22,"Lions Gate Films, Twentieth Century Fox Film Corporation, Centropolis Entertainment, Mark Gordon Productions, Mel's Cite du Cinema"
The Aviator,11,"Appian Way, Forward Pass, Cappa Productions, Warner Bros., Initial Entertainment Group (IEG)"
Collateral,10,"Paramount Pictures, DreamWorks SKG, Parkes/MacDonald Productions, Edge City"
Blade: Trinity,14,"New Line Cinema, Amen Ra Films, Shawn Danielle Productions Ltd., Imaginary Forces, Marvel Enterprises"
The Terminal,12,"DreamWorks SKG, Amblin Entertainment, Parkes/MacDonald Productions"
Lemony Snicket's A Series of Unfortunate Events,47,"Paramount Pictures, Scott Rudin Productions, Nickelodeon Movies, DreamWorks Pictures, Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 2 KG"
Million Dollar Baby,19,"Lakeshore Entertainment, Malpaso Productions, Epsilon Motion Pictures, Warner Bros., Albert S. Ruddy Productions"
Garfield,8,"Twentieth Century Fox Film Corporation, Davis Entertainment"
Shark Tale,10,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation"
Sky Captain and the World of Tomorrow,37,"Paramount Pictures, Natural Nylon Entertainment, Riff Raff Film Productions, Filmauro, Blue Flower Productions"
The SpongeBob SquarePants Movie,31,"Paramount Pictures, Nickelodeon Movies, Paramount Animation"
Crash,5,"Blackfriars Bridge Films, Yari Film Group, Bob Yari Productions, ApolloProScreen Filmproduktion, Bull's Eye Entertainment"
Anchorman: The Legend of Ron Burgundy,37,Apatow Productions
13 Going On 30,14,"Columbia Pictures, Revolution Studios, Thirteen Productions"
Ella Enchanted,14,Miramax Films
The Girl Next Door,18,"Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures, Daybreak"
Finding Neverland,17,"Miramax Films, Film Colony"
A Cinderella Story,18,"Gaylord Films, Warner Bros., Dylan Sellers Productions, Clifford Werber Productions"
AVP: Alien vs. Predator,23,"Impact Pictures, Studio Babelsberg, Twentieth Century Fox Film Corporation, Davis Entertainment, Stillking Films"
DodgeBall: A True Underdog Story,32,"Twentieth Century Fox Film Corporation, Red Hour Films, Mediastream Vierte Film GmbH & Co. Vermarktungs KG"
Banlieue 13,11,"Canal Plus, TF1 Films Production, EuropaCorp"
Alexander,9,"France 3 CinÃ©ma, Intermedia Films, PathÃ© Renn Productions, Egmond Film & Television, Warner Bros."
Harold & Kumar Go to White Castle,33,New Line Cinema
Spider-Man 2,12,"Laura Ziskin Productions, Columbia Pictures Corporation, Marvel Enterprises"
EuroTrip,8,"DreamWorks SKG, The Montecito Picture Company, Blue Sea Productions"
Man on Fire,11,"Regency Enterprises, Fox 2000 Pictures, Epsilon Motion Pictures, Scott Free Productions, New Regency Pictures"
Along Came Polly,16,"Universal Pictures, Jersey Films, Loofah Productions"
Closer,6,Columbia Pictures
The Punisher,12,"Lions Gate Films, VIP 3 Medienfonds, Valhalla Motion Pictures, Marvel Enterprises, VIP 2 Medienfonds"
Catwoman,8,"Village Roadshow Pictures, DiNovi Pictures, Warner Bros., Frantic Films, Maple Shade Films"
Dawn of the Dead,16,"New Amsterdam Entertainment, Strike Entertainment, Metropolitan Filmexport, Toho-Towa, Cruel and Unusual Films"
King Arthur,11,"Jerry Bruckheimer Films, World 2000 Entertainment, Touchstone Pictures, Green Hills Productions"
